i,j,y,t
71,990,-1.60528882526386,1
71,990,-1.07055589875326,2
72,221,1.36677251512031,1
72,302,1.44371112271512,2
73,453,-1.23416850533044,1
73,497,-2.16342870039772,2
74,474,-0.186002360939421,1
74,474,-0.414504213418788,2
75,919,0.719215665947619,1
75,919,0.885555558426136,2
76,539,0.1529673211231,1
76,539,-0.167105855289506,2
77,418,-0.513504265160365,1
77,305,-1.47463501141259,2
78,721,0.517394590079775,1
78,721,0.0123705914284122,2
79,319,-0.45938490077169,1
79,319,-0.192220485326241,2
80,279,-1.8932061447295,1
80,559,-0.284765224769586,2
81,353,0.961183326734173,1
81,353,1.04064561576775,2
82,322,-0.0491350172463976,1
82,189,-0.156947940227264,2
83,91,-0.278226799178323,1
83,730,1.46246502558416,2
84,457,-0.800142278756273,1
84,457,-0.571630688922703,2
85,965,-0.720227301874291,1
85,965,0.0320024479255286,2
86,100,0.524885228132556,1
86,673,1.31055455959187,2
87,127,0.510012162634566,1
87,127,1.43914181486924,2
88,502,-0.617335164588507,1
88,502,-0.393256699093803,2
89,843,1.28033620022091,1
89,843,1.35860011486975,2
90,76,0.128273768869207,1
90,76,-0.138801280368073,2
91,424,0.86387880001,1
91,778,0.492608980602755,2
92,149,0.194016636437696,1
92,149,0.597541962628293,2
93,557,-1.13389747721902,1
93,557,-1.25145908279228,2
94,649,1.6962259461914,1
94,122,1.91188669276513,2
95,225,-0.525060462013304,1
95,225,-0.704572212564864,2
96,930,1.34911917154308,1
96,813,2.45946914501117,2
97,552,0.671175057023459,1
97,552,1.28345787525764,2
98,211,-0.654373316966677,1
98,240,-1.49565335427548,2
99,617,-1.61307394747478,1
99,693,-0.826076999012859,2
100,820,-0.34197750815893,1
100,22,-0.928751690146449,2
101,424,0.550102820184496,1
101,249,-0.194548994260018,2
102,59,-0.687363025540302,1
102,59,-0.839515802159598,2
103,699,-1.09970938571462,1
103,699,-1.09918131789886,2
104,95,-0.721737563522079,1
104,95,-0.987762017541153,2
105,140,-0.30372474498555,1
105,140,-1.11981786789767,2
106,435,-0.555193505070255,1
106,24,-0.715893688663933,2
107,687,-2.58732896383615,1
107,687,-1.61106563594514,2
108,917,0.594700329747774,1
108,917,0.514193243718209,2
109,315,0.540557141458582,1
109,315,0.566251077819457,2
110,461,-0.787839220022149,1
110,461,-0.752659830870825,2
111,18,0.0420083853507894,1
111,18,0.393648513284728,2
112,625,-1.097648597733,1
112,625,-1.11120957440962,2
113,185,0.280770425452634,1
113,185,-0.493659429751479,2
114,712,1.28957089531965,1
114,712,1.11724357113821,2
115,148,1.52507244638492,1
115,148,0.250573923590134,2
116,535,1.26947605530811,1
116,535,0.569090861678384,2
117,351,0.341990236509916,1
117,351,1.055088676569,2
118,699,-1.54702736749198,1
118,173,-1.42371178132893,2
119,227,-1.18327357390276,1
119,227,-1.36923967638455,2
120,867,-0.312543998556808,1
120,867,-0.2674222339995,2
121,199,-0.376857126290695,1
121,199,-0.163546340032321,2
122,677,0.47859981727753,1
122,677,-0.440353403723015,2
123,655,-0.341435549331445,1
123,655,-0.718019193793677,2
124,91,0.909996031583837,1
124,379,1.65719486157036,2
125,902,-0.788556500113574,1
125,902,-0.0649663629429964,2
126,989,0.314558903994466,1
126,989,0.514695396733029,2
127,550,-0.277495677569002,1
127,550,-0.287470519586053,2
128,784,-1.16453810530961,1
128,784,-1.57138507286471,2
129,462,-0.0703109932875773,1
129,462,0.596805621453245,2
130,805,1.89242057799693,1
130,805,2.46269166560503,2
131,629,0.586918605296407,1
131,923,1.27966165096792,2
132,655,-0.0142179929606381,1
132,655,0.395827817134447,2
133,9,0.0884734016745814,1
133,9,-0.229503760246121,2
134,295,-2.44689000770427,1
134,295,-2.27218233945822,2
135,374,1.28222330032025,1
135,374,1.50228986587937,2
136,86,-1.28934199527942,1
136,86,-1.50970759345138,2
137,407,0.766672304946638,1
137,407,0.409542137894046,2
138,177,1.72540139513663,1
138,631,1.71757451526381,2
139,727,-0.663409384214007,1
139,727,-0.401355737562847,2
140,830,0.22254606317195,1
140,830,0.511622018290542,2
141,924,-0.860892602190203,1
141,924,-0.879065721549509,2
142,247,-1.29875459742551,1
142,247,-1.02439226178755,2
143,87,-1.11503520720412,1
143,87,-1.25880693537818,2
144,442,-0.809153829561513,1
144,442,-1.20333596206923,2
145,219,-1.03574137720725,1
145,219,-1.13401651399336,2
146,408,-0.708917219489011,1
146,806,-0.552565751050894,2
147,92,1.78567669670848,1
147,174,0.133559058693751,2
148,844,2.74718204625037,1
148,844,3.59830567902378,2
149,787,-0.943653999675078,1
149,787,-1.47569100296358,2
150,369,0.786343137702837,1
150,369,0.430453370249583,2
151,491,0.963472850481473,1
151,491,1.25398981594114,2
152,60,0.507848695471456,1
152,918,1.57528910294774,2
153,68,-1.72812470002034,1
153,68,-1.22576066100799,2
154,583,-0.322851713340993,1
154,583,-0.485388867164008,2
155,791,-0.480928344602662,1
155,791,-1.1474387605006,2
156,949,-0.175387978407958,1
156,949,0.506501382612313,2
157,215,0.231641526769025,1
157,215,-0.491717251131023,2
158,332,0.41839392325786,1
158,687,0.165184169713082,2
159,956,-1.29256877776844,1
159,25,-1.27114023865871,2
160,526,0.79702925338176,1
160,526,1.01785376751973,2
161,811,-1.13168940599675,1
161,811,-1.32689605037665,2
162,684,-1.0078582279742,1
162,684,-0.742957091476385,2
163,575,3.12850484836327,1
163,575,3.21341385256101,2
164,821,-0.342349183971533,1
164,835,-0.475319159252267,2
165,831,1.11111082267803,1
165,831,0.683416972813604,2
166,18,0.570395038881624,1
166,18,0.582570534622987,2
167,180,-0.213987939834075,1
167,180,0.124918225204473,2
168,355,0.212418990407411,1
168,355,0.183240164987916,2
169,547,0.538989790263752,1
169,572,1.35415448149997,2
170,517,-0.605924382296171,1
170,467,-0.757031628301301,2
171,921,0.0589790721267493,1
171,921,-0.131793993108803,2
172,971,0.018760267912185,1
172,971,-0.0801084708594201,2
173,480,2.73693929521879,1
173,480,2.68418706831906,2
174,204,-1.16538837116046,1
174,204,-0.431454816578567,2
175,81,-0.574544965605644,1
175,81,-0.576501507245286,2
176,689,0.624222631263401,1
176,545,0.585062374703311,2
177,276,1.60057708536177,1
177,276,1.5242884640737,2
178,729,1.096645082009,1
178,729,0.975616148197893,2
179,982,-0.0875037484421545,1
179,982,-0.277917303140689,2
180,248,-1.06903885572124,1
180,248,-0.527148283562025,2
181,939,1.36524431937278,1
181,249,1.32536118249199,2
182,129,-0.674077447990997,1
182,129,-0.0498985515810668,2
183,19,-1.62668847521028,1
183,484,-1.29237270935155,2
184,313,-0.360490976961081,1
184,313,-0.108076718023054,2
185,887,0.301420217482347,1
185,887,-0.0574195658103953,2
186,563,1.6622160628555,1
186,773,1.35120197402699,2
187,942,0.459264844527755,1
187,942,0.627489236201839,2
188,28,1.96629687762462,1
188,28,0.97898672797987,2
189,47,-0.540262761308364,1
189,47,-0.394788539709541,2
190,427,-0.195568337732972,1
190,427,-1.03863904300398,2
191,632,0.026497853169025,1
191,632,-0.0552958173507037,2
192,105,0.567496529364684,1
192,105,0.942180506488834,2
193,65,-0.222725244097332,1
193,65,-1.18315267233082,2
194,827,-1.91002499750391,1
194,827,-1.83462210694821,2
195,306,2.23138163583808,1
195,306,2.35723906474929,2
196,262,0.905565700092231,1
196,262,0.39393765511659,2
197,631,-1.7252361777386,1
197,631,-1.16511430197662,2
198,91,-1.70708445367151,1
198,91,-1.19391295634149,2
199,977,-1.1259175151804,1
199,76,-2.55663306057834,2
200,383,1.87373149403136,1
200,383,2.14887896357781,2
201,441,2.09580849015115,1
201,441,2.06348742360558,2
202,72,-0.0914765508231113,1
202,72,-0.575602430942299,2
203,657,1.40954968233932,1
203,657,0.82754174121284,2
204,633,0.56734251483422,1
204,633,-0.00258436908066545,2
205,9,-0.456002632472434,1
205,9,0.00825666395513562,2
206,689,-0.451350819363466,1
206,689,-0.206325004842006,2
207,495,0.0706992590274719,1
207,495,0.161608864296664,2
208,477,2.28531232648283,1
208,477,1.83943992068312,2
209,983,0.00282836656024002,1
209,919,-0.793792479469312,2
210,79,0.981056103009992,1
210,79,0.761636971445503,2
211,805,1.52601449825992,1
211,805,1.65816475951008,2
212,482,1.09100379996957,1
212,482,1.54036752688376,2
213,285,-1.44102196961756,1
213,285,-1.26321737973556,2
214,484,-1.19131614041824,1
214,484,-0.498273931656813,2
215,846,2.28497918271838,1
215,846,2.29833723868757,2
216,584,-1.22883554991665,1
216,584,-0.0733061462501922,2
217,397,0.00146092654602592,1
217,102,-0.950799271085507,2
218,509,-1.14672549417131,1
218,509,-0.817752504201579,2
219,743,-2.23367197536456,1
219,743,-1.15495207491862,2
220,406,-1.94314551883455,1
220,406,-1.84833383697548,2
221,370,1.86509148230352,1
221,370,2.85115573291846,2
222,802,0.595726248301365,1
222,802,1.31374277893123,2
223,745,0.218535702360287,1
223,745,0.669713560455212,2
224,948,-0.453404261351696,1
224,948,0.0189921516460893,2
225,331,0.0916000903867387,1
225,547,-0.245710769506826,2
226,539,-0.249427118765461,1
226,641,-0.575900578676234,2
227,217,-0.998931765780699,1
227,867,-1.19951179768446,2
228,687,0.310327502335206,1
228,687,0.756359338073049,2
229,411,-0.792473502064698,1
229,411,-0.182808786371151,2
230,634,2.02605715099756,1
230,634,2.51378004321568,2
231,373,0.116629476145375,1
231,373,0.367170734935289,2
232,308,0.783655856444961,1
232,308,0.708500273789128,2
233,547,-1.20623783604753,1
233,547,-0.928553625968967,2
234,718,0.339112447955094,1
234,604,-0.325998841130112,2
235,227,-1.54014406090038,1
235,227,-1.55466285067083,2
236,718,0.764702639580445,1
236,718,0.575573831467823,2
237,847,-0.326357087992675,1
237,847,0.0731043323194789,2
238,570,-0.487101476484504,1
238,771,-0.659267416402023,2
239,840,-0.586985504870604,1
239,840,0.120813573311762,2
240,406,-2.30505817420305,1
240,406,-1.63177905673029,2
241,941,-0.58891290376574,1
241,941,-0.504237700007384,2
242,49,1.81473667009749,1
242,49,1.71162142212463,2
243,171,-0.307387633385457,1
243,171,-0.137324321606742,2
244,623,0.775033860775389,1
244,623,-0.0741943118203072,2
245,166,1.32506875096137,1
245,166,1.38865505540064,2
246,644,-0.301128172227364,1
246,639,-0.929145549659013,2
247,649,-0.987961650329649,1
247,649,-1.14836164137898,2
248,634,-0.564955514884547,1
248,634,-1.04596258456488,2
249,451,-0.20325430128462,1
249,451,0.454433479556305,2
250,726,0.353745834256114,1
250,726,0.225616816086403,2
251,518,-1.68813475571218,1
251,518,-1.10937850243975,2
252,145,-0.380864812056974,1
252,145,-1.49502565321318,2
253,793,0.446814186555532,1
253,63,0.922987230340872,2
254,474,1.59064450477486,1
254,474,1.44265077767472,2
255,190,-0.280883694266399,1
255,190,0.0485711500399814,2
256,474,1.01201674369037,1
256,474,1.14509079485129,2
257,361,0.759406369869337,1
257,361,0.726865714861848,2
258,287,-1.01336344853659,1
258,287,-0.855417017231129,2
259,483,-0.62480719075353,1
259,483,-0.716610211332282,2
260,996,0.268290676020283,1
260,996,0.347452696532171,2
261,391,-1.36718640991398,1
261,391,-1.22789388699396,2
262,295,0.00828040389365691,1
262,424,0.284092157118483,2
263,108,0.640869191902441,1
263,108,0.122938793989502,2
264,867,2.26534703001117,1
264,447,2.9653808013632,2
265,194,2.42325034051013,1
265,115,0.820900647864693,2
266,897,0.173007742128872,1
266,897,0.62737651900564,2
267,981,-2.50465179015809,1
267,248,-1.48904212400464,2
268,491,0.169675225085394,1
268,491,-0.464223404130209,2
269,185,0.262994862400082,1
269,185,0.0171735862936698,2
270,669,0.845236081387368,1
270,230,1.56740483590433,2
271,152,0.875929810834227,1
271,152,0.416060630342407,2
272,183,0.672864374644571,1
272,183,1.4467537795404,2
273,385,-1.84667382095085,1
273,385,-1.24349815856108,2
274,526,0.795277740805561,1
274,526,1.19039112799693,2
275,30,0.612241292800302,1
275,30,0.722511443299931,2
276,377,0.224792134910697,1
276,377,0.364815265625471,2
277,755,0.849137678020849,1
277,755,0.326797812857269,2
278,95,0.561095071495154,1
278,95,0.828743543570282,2
279,191,-0.493403163164652,1
279,191,-0.265109347761936,2
280,636,-2.54843716032406,1
280,636,-2.2198958917543,2
281,944,1.29766117309993,1
281,402,1.60537749834585,2
282,257,1.04793884881974,1
282,257,1.51717460961221,2
283,251,-0.240614567624027,1
283,175,-1.40378830737242,2
284,479,-0.381461976409846,1
284,479,0.517129225523676,2
285,293,0.112338161206768,1
285,293,0.297841570660252,2
286,637,-0.127356425217399,1
286,637,-1.03949432883056,2
287,300,1.07993187855043,1
287,300,1.59005851437123,2
288,664,0.0150047060494367,1
288,664,-0.587058717114832,2
289,654,0.949319962781996,1
289,527,-0.539639173623768,2
290,383,1.38460394306305,1
290,383,1.26521195597814,2
291,826,0.2423067920657,1
291,826,0.475552078184482,2
292,677,1.2648977832613,1
292,525,0.471205081865501,2
293,900,-1.66006675082881,1
293,900,-1.81731013043643,2
294,434,0.610486848440406,1
294,434,0.944489790899165,2
295,21,-0.341648917537392,1
295,21,-0.612487715668524,2
296,516,1.89886397968313,1
296,516,1.36290531257063,2
297,257,-0.491691394406577,1
297,257,-0.763706445372768,2
298,258,-0.271254789021943,1
298,258,-0.190121724757377,2
299,268,2.28657371445234,1
299,819,0.5251134331033,2
300,417,0.10538986705158,1
300,417,-0.336291907430644,2
301,560,-1.12108357599313,1
301,560,-1.52539502518976,2
302,331,-0.821538533613493,1
302,331,-0.937046124861206,2
303,179,-0.901627680183333,1
303,179,-0.845902748864977,2
304,529,-0.102546975155571,1
304,529,0.321538926280359,2
305,775,-0.454270177414828,1
305,775,0.655841990059312,2
306,612,-1.92695490511041,1
306,612,-2.43869168047463,2
307,473,-0.494104673538238,1
307,473,0.315473042121303,2
308,59,0.306649222144537,1
308,59,0.365805931993284,2
309,518,1.58302753213003,1
309,518,1.82051062306925,2
310,21,-0.0190934357456162,1
310,550,1.04630620679348,2
311,329,0.648501305611321,1
311,329,1.08224388892742,2
312,536,-0.797710328794425,1
312,536,-0.865956887574133,2
313,398,0.478598874986734,1
313,635,-1.1702564267443,2
314,758,0.516469991268197,1
314,758,0.816188074577128,2
315,141,1.58487824404889,1
315,141,0.969446073004254,2
316,596,-0.131560109519075,1
316,596,0.236358109629806,2
317,842,-1.0141383929799,1
317,842,-1.96044333904282,2
318,532,1.46394491492081,1
318,532,1.65249132506539,2
319,745,0.843352375046647,1
319,745,1.08119480740793,2
320,275,-0.403014852672888,1
320,275,-0.439419549873836,2
321,747,1.11724685210317,1
321,747,1.50549502617282,2
322,578,-1.24759667676682,1
322,578,-1.59834135112847,2
323,889,0.647501028021593,1
323,194,1.87793322103538,2
324,296,-0.417593708770375,1
324,377,-0.209665784053032,2
325,152,0.447336387861182,1
325,152,-0.339080613971858,2
326,431,-0.748577384199625,1
326,431,-0.116730325371396,2
327,266,1.11893245382998,1
327,266,0.910367816734878,2
328,165,1.50752364126984,1
328,165,1.46376102946977,2
329,684,0.185205055894592,1
329,684,0.0044441935926276,2
330,896,1.19769859349274,1
330,896,1.30087688564245,2
331,203,-1.1742367689768,1
331,203,-0.70665984292662,2
332,139,-0.00447964292554492,1
332,139,-0.601723532527194,2
333,804,1.51227019290074,1
333,804,1.597811890496,2
334,683,0.535682573540637,1
334,683,1.50655267162938,2
335,169,-2.13034500411403,1
335,169,-2.42956481838927,2
336,408,-0.73101410983802,1
336,408,-1.15531913510283,2
337,915,-0.107585410216822,1
337,915,-0.338569209763908,2
338,749,0.957437022090367,1
338,85,0.20306406136333,2
339,432,0.265309416370341,1
339,432,-0.0393674124015249,2
340,656,0.147955736604263,1
340,656,-0.389757706948601,2
341,581,1.09047960617694,1
341,116,1.67302096127656,2
342,296,2.24859581970162,1
342,296,2.30081681608399,2
343,517,-0.149296311690689,1
343,517,0.096155156094376,2
344,987,-0.836993703320617,1
344,987,-0.932649090006165,2
345,892,-2.52072534107302,1
345,892,-1.89337899257015,2
346,246,0.609623812914949,1
346,246,0.71729758022793,2
347,192,-0.962406972074664,1
347,192,-0.547523226480857,2
348,499,-1.62563983089447,1
348,499,-1.13967092079957,2
349,122,0.182098502037225,1
349,837,-0.0286217228858973,2
350,685,-0.577685260408896,1
350,685,-0.399512652000681,2
351,160,-2.80790388447498,1
351,160,-2.93484689577568,2
352,52,-0.756406596469324,1
352,99,-1.67179229804056,2
353,547,0.254210658492047,1
353,547,0.0783068182415043,2
354,925,0.189539479487084,1
354,925,0.0416386079065059,2
355,843,0.634996313723425,1
355,843,0.114678542014616,2
356,897,0.409554506914098,1
356,575,0.543944776996735,2
357,781,0.48260842545418,1
357,940,0.27307039887229,2
358,886,-3.26415520536199,1
358,506,-2.78276605689859,2
359,976,2.98951291147939,1
359,976,2.68173591359369,2
360,524,-0.851910123623022,1
360,524,-1.17631800079992,2
361,651,1.32975250732327,1
361,651,1.59178452477204,2
362,953,0.240797807429532,1
362,953,0.112884113865513,2
363,129,0.917729289870157,1
363,453,0.468823869212452,2
364,378,1.05347072032979,1
364,378,1.6961728090888,2
365,699,-1.74616134007793,1
365,699,-1.44872002396613,2
366,31,1.95585935067121,1
366,249,0.0259731449394435,2
367,468,-0.834458721145297,1
367,468,-0.980147098391982,2
368,895,1.37277443122304,1
368,895,1.56965356061182,2
369,425,-1.11747286965546,1
369,425,-1.16458179903218,2
370,292,1.59510127580174,1
370,292,2.52305709486758,2
371,857,-2.44959857277459,1
371,857,-1.97798900671556,2
372,790,-0.203047952295601,1
372,790,0.230669106217608,2
373,398,1.09624097790888,1
373,398,0.812650551270129,2
374,891,-0.605625957890925,1
374,891,-1.26059361431039,2
375,948,-0.629621402863668,1
375,948,-0.762495260715113,2
376,103,-1.38719522257604,1
376,103,-1.15561369114518,2
377,760,0.449714622853381,1
377,802,-0.152203953020138,2
378,515,0.539194466995613,1
378,515,0.674628694422617,2
379,239,-1.2466212794985,1
379,738,-2.12813006156146,2
380,566,0.927584094017146,1
380,566,1.24799196657253,2
381,365,1.0159964214949,1
381,365,1.48301815975,2
382,989,-0.0847996626202204,1
382,989,0.404210850035381,2
383,63,-0.385610723880551,1
383,414,-1.84540547477285,2
384,695,1.45888338937338,1
384,695,0.914222506589017,2
385,567,0.884944845158679,1
385,47,1.51956207295125,2
386,426,0.74244842233375,1
386,226,1.21497308286436,2
387,593,-0.536846284121577,1
387,361,-1.17472317522566,2
388,562,-0.956157088381219,1
388,562,-0.525578657830855,2
389,308,0.734471188803398,1
389,308,0.774494974520058,2
390,606,-0.221656916048182,1
390,606,0.24837481005036,2
391,527,-3.27507325528701,1
391,527,-3.32913295292428,2
392,990,1.8422692946348,1
392,521,0.698744788956307,2
393,766,-0.748795789136761,1
393,766,-0.967863426818142,2
394,482,-0.588003125490117,1
394,482,-0.397665427263376,2
395,795,1.61440026489281,1
395,364,1.23196641803223,2
396,443,-1.01619616053462,1
396,443,-0.433824576363158,2
397,337,0.918342179420303,1
397,337,0.724640554941676,2
398,815,-1.17417701050792,1
398,815,-0.942062716960115,2
399,659,-0.497098852923109,1
399,659,-0.422924200620912,2
400,609,-0.972216103814761,1
400,609,-0.506684450060997,2
401,276,-0.75196275066495,1
401,276,0.109672812758158,2
402,138,0.398127939272848,1
402,138,0.853242342785539,2
403,867,-0.313190434843923,1
403,867,-0.0966236826409516,2
404,224,0.620800905863232,1
404,224,0.490389731935018,2
405,3,-2.61068483495659,1
405,3,-1.94244435619156,2
406,423,-0.0116747171770275,1
406,423,0.401332280979507,2
407,870,0.954724935698152,1
407,870,1.03776990545198,2
408,713,-0.437690209444108,1
408,713,-0.653710351739214,2
409,85,0.11132163272217,1
409,85,-0.0465758203321321,2
410,292,0.769738558604316,1
410,156,0.0291929521375519,2
411,224,0.365739670428177,1
411,224,0.353725452378251,2
412,522,0.429124047404783,1
412,522,-0.335568132382606,2
413,844,0.13185543420228,1
413,192,0.21509214748615,2
414,550,-0.645609302783508,1
414,550,-0.844768875055873,2
415,870,-2.12189616569479,1
415,870,-2.71775681169741,2
416,524,-0.62054075989185,1
416,280,-0.922596253088906,2
417,989,0.545846231415525,1
417,989,1.04956757525805,2
418,445,0.384374755935182,1
418,445,0.0944831904560517,2
419,558,-0.313912049469177,1
419,558,-0.0818375610882589,2
420,362,1.80039205889269,1
420,362,1.5081517656541,2
421,213,0.605447604094184,1
421,213,0.856686332753322,2
422,816,0.00123071128135113,1
422,816,0.246211802597488,2
423,449,2.28303268838526,1
423,691,1.82187483792584,2
424,20,-0.858832367382054,1
424,20,-0.101294010417842,2
425,554,-0.367215623696625,1
425,554,0.340416580018069,2
426,955,1.9682887664092,1
426,955,1.62692357836199,2
427,436,0.237006621694099,1
427,260,-0.868885992349597,2
428,787,2.41921014546855,1
428,787,2.11150421115983,2
429,476,-1.41762313475109,1
429,476,-1.34198855606282,2
430,720,1.40102443287579,1
430,720,0.749827591719688,2
431,480,1.21784969145478,1
431,480,0.101663843466108,2
432,853,0.162387282341272,1
432,363,0.461235323862527,2
433,734,-0.790934148660448,1
433,734,-0.428003151412407,2
434,448,0.126480129010618,1
434,448,0.20077452037771,2
435,782,-1.83900269776144,1
435,384,-1.57107264770383,2
436,984,0.244184958393857,1
436,984,0.444847689478479,2
437,225,0.830549665659375,1
437,225,0.502327308142288,2
438,176,-1.62729924071194,1
438,176,-1.52006960457663,2
439,188,1.34357357217074,1
439,302,1.56034657067996,2
440,52,-2.81890670280857,1
440,52,-3.14391121598567,2
441,945,0.60286598942463,1
441,198,0.476503792768757,2
442,653,0.945835594219816,1
442,653,1.44837403676745,2
443,59,0.107771285860636,1
443,59,-0.692342856480687,2
444,31,-0.0357765515870952,1
444,116,-0.565485593401569,2
445,391,-0.123934071605384,1
445,391,-0.396413290036028,2
446,520,-0.184696790976042,1
446,520,0.00747125915108088,2
447,114,-0.0741099289605482,1
447,114,0.00388716863968505,2
448,380,-2.16217938532886,1
448,380,-2.18713874092272,2
449,21,-2.49494372346262,1
449,21,-2.27876583108415,2
450,973,1.59175633295965,1
450,973,2.03449442361929,2
451,244,0.790461736798733,1
451,782,0.253074648899496,2
452,169,0.548347250712444,1
452,169,0.0363861913154816,2
453,637,-0.124876725388317,1
453,637,0.121620605433701,2
454,12,-0.218674560263019,1
454,12,0.384218771247566,2
455,457,-2.4946124385014,1
455,457,-3.25154489226408,2
456,287,0.506879289150089,1
456,766,1.11327316774846,2
457,869,-0.456139755695897,1
457,869,-0.399612124779056,2
458,53,-0.762783013343895,1
458,53,-0.663323790188576,2
459,326,-0.158878254863269,1
459,326,-0.455600284999084,2
460,257,1.4823301789806,1
460,257,1.26847518696272,2
461,911,-0.507718706831198,1
461,911,-0.492561017682989,2
462,89,0.749273247386189,1
462,89,0.832858988001545,2
463,431,-0.887906607117481,1
463,431,-0.621418891131881,2
464,942,-0.172731625106199,1
464,942,-1.28492588835109,2
465,779,1.29392765852318,1
465,779,1.58481531889279,2
466,189,1.34160458151363,1
466,189,0.90110087588675,2
467,933,2.58240285124333,1
467,933,1.7385179686789,2
468,783,0.716848166188674,1
468,950,0.372917203342133,2
469,712,2.01790503457104,1
469,279,0.313182285294227,2
470,960,2.0242125871852,1
470,960,2.07801652501672,2
471,50,0.0937091615113165,1
471,50,0.0817930447429599,2
472,967,-1.1927524756303,1
472,967,-1.33006991404817,2
473,762,-0.318881678131567,1
473,762,-0.465819152466236,2
474,252,0.42458705888993,1
474,252,0.0261803959265886,2
475,692,0.110636394968351,1
475,692,0.0291136559187891,2
476,32,2.05607213207376,1
476,32,2.0405454606976,2
477,413,0.274010886969038,1
477,413,-0.0164426029110167,2
478,360,0.502109515218373,1
478,360,0.982188986577753,2
479,215,0.770559426035677,1
479,215,-0.309089948267094,2
480,356,-0.145721204462821,1
