i,j1,j2,y1,y2,t11,t12,t21,t22,g1,g2,w1,w2,m
51,17,17,0.383933018236437,0.383933018236437,1,2,1,2,2,2,2,2,0
52,892,262,-0.467571662965431,-0.445589360299858,1,1,2,2,2,8,1,1,1
53,303,303,0.43909494476273847,0.43909494476273847,1,2,1,2,5,5,2,2,0
54,918,918,1.0323828207126144,1.0323828207126144,1,2,1,2,6,6,2,2,0
55,666,666,2.082233203296265,2.082233203296265,1,2,1,2,4,4,2,2,0
56,221,221,-1.378714077353755,-1.378714077353755,1,2,1,2,8,8,2,2,0
57,418,418,0.9193979373494785,0.9193979373494785,1,2,1,2,1,1,2,2,0
58,568,568,-0.1867246682580855,-0.1867246682580855,1,2,1,2,8,8,2,2,0
59,231,231,-0.7296331117146435,-0.7296331117146435,1,2,1,2,5,5,2,2,0
60,315,315,0.4318546597518975,0.4318546597518975,1,2,1,2,8,8,2,2,0
61,628,945,-0.633089624263897,-0.254898419026729,1,1,2,2,8,9,1,1,1
62,428,732,0.111009109219641,0.527649017647112,1,1,2,2,1,9,1,1,1
63,288,288,-0.809055118689987,-0.809055118689987,1,2,1,2,4,4,2,2,0
64,269,269,-0.792282483353936,-0.792282483353936,1,2,1,2,2,2,2,2,0
65,68,68,0.0946033615301641,0.0946033615301641,1,2,1,2,8,8,2,2,0
66,701,701,0.0596980990120475,0.0596980990120475,1,2,1,2,3,3,2,2,0
67,154,154,-0.09390363388911185,-0.09390363388911185,1,2,1,2,8,8,2,2,0
68,11,11,1.9096111364980102,1.9096111364980102,1,2,1,2,6,6,2,2,0
69,96,96,2.027004716418415,2.027004716418415,1,2,1,2,9,9,2,2,0
70,225,841,-0.828354158128665,-0.471835791424751,1,1,2,2,2,2,1,1,1
71,990,990,-1.3379223620085599,-1.3379223620085599,1,2,1,2,6,6,2,2,0
72,221,302,1.36677251512031,1.44371112271512,1,1,2,2,8,1,1,1,1
73,453,497,-1.23416850533044,-2.16342870039772,1,1,2,2,5,5,1,1,1
74,474,474,-0.3002532871791045,-0.3002532871791045,1,2,1,2,2,2,2,2,0
75,919,919,0.8023856121868775,0.8023856121868775,1,2,1,2,5,5,2,2,0
76,539,539,-0.007069267083203004,-0.007069267083203004,1,2,1,2,9,9,2,2,0
77,418,305,-0.513504265160365,-1.47463501141259,1,1,2,2,1,8,1,1,1
78,721,721,0.2648825907540936,0.2648825907540936,1,2,1,2,3,3,2,2,0
79,319,319,-0.3258026930489655,-0.3258026930489655,1,2,1,2,7,7,2,2,0
80,279,559,-1.8932061447295,-0.284765224769586,1,1,2,2,0,2,1,1,1
81,353,353,1.0009144712509614,1.0009144712509614,1,2,1,2,1,1,2,2,0
82,322,189,-0.0491350172463976,-0.156947940227264,1,1,2,2,2,4,1,1,1
83,91,730,-0.278226799178323,1.46246502558416,1,1,2,2,5,1,1,1,1
84,457,457,-0.685886483839488,-0.685886483839488,1,2,1,2,8,8,2,2,0
85,965,965,-0.34411242697438116,-0.34411242697438116,1,2,1,2,5,5,2,2,0
86,100,673,0.524885228132556,1.31055455959187,1,1,2,2,3,9,1,1,1
87,127,127,0.974576988751903,0.974576988751903,1,2,1,2,2,2,2,2,0
88,502,502,-0.505295931841155,-0.505295931841155,1,2,1,2,7,7,2,2,0
89,843,843,1.31946815754533,1.31946815754533,1,2,1,2,9,9,2,2,0
90,76,76,-0.005263755749432997,-0.005263755749432997,1,2,1,2,5,5,2,2,0
91,424,778,0.86387880001,0.492608980602755,1,1,2,2,4,8,1,1,1
92,149,149,0.3957792995329945,0.3957792995329945,1,2,1,2,9,9,2,2,0
93,557,557,-1.1926782800056501,-1.1926782800056501,1,2,1,2,7,7,2,2,0
94,649,122,1.6962259461914,1.91188669276513,1,1,2,2,9,9,1,1,1
95,225,225,-0.614816337289084,-0.614816337289084,1,2,1,2,2,2,2,2,0
96,930,813,1.34911917154308,2.45946914501117,1,1,2,2,8,9,1,1,1
97,552,552,0.9773164661405496,0.9773164661405496,1,2,1,2,7,7,2,2,0
98,211,240,-0.654373316966677,-1.49565335427548,1,1,2,2,3,0,1,1,1
99,617,693,-1.61307394747478,-0.826076999012859,1,1,2,2,7,7,1,1,1
100,820,22,-0.34197750815893,-0.928751690146449,1,1,2,2,1,8,1,1,1
101,424,249,0.550102820184496,-0.194548994260018,1,1,2,2,4,7,1,1,1
102,59,59,-0.7634394138499501,-0.7634394138499501,1,2,1,2,5,5,2,2,0
103,699,699,-1.09944535180674,-1.09944535180674,1,2,1,2,5,5,2,2,0
104,95,95,-0.8547497905316159,-0.8547497905316159,1,2,1,2,4,4,2,2,0
105,140,140,-0.71177130644161,-0.71177130644161,1,2,1,2,5,5,2,2,0
106,435,24,-0.555193505070255,-0.715893688663933,1,1,2,2,1,4,1,1,1
107,687,687,-2.099197299890645,-2.099197299890645,1,2,1,2,2,2,2,2,0
108,917,917,0.5544467867329914,0.5544467867329914,1,2,1,2,6,6,2,2,0
109,315,315,0.5534041096390195,0.5534041096390195,1,2,1,2,8,8,2,2,0
110,461,461,-0.770249525446487,-0.770249525446487,1,2,1,2,2,2,2,2,0
111,18,18,0.2178284493177587,0.2178284493177587,1,2,1,2,2,2,2,2,0
112,625,625,-1.10442908607131,-1.10442908607131,1,2,1,2,9,9,2,2,0
113,185,185,-0.1064445021494225,-0.1064445021494225,1,2,1,2,1,1,2,2,0
114,712,712,1.20340723322893,1.20340723322893,1,2,1,2,6,6,2,2,0
115,148,148,0.8878231849875269,0.8878231849875269,1,2,1,2,9,9,2,2,0
116,535,535,0.919283458493247,0.919283458493247,1,2,1,2,4,4,2,2,0
117,351,351,0.698539456539458,0.698539456539458,1,2,1,2,6,6,2,2,0
118,699,173,-1.54702736749198,-1.42371178132893,1,1,2,2,5,5,1,1,1
119,227,227,-1.2762566251436551,-1.2762566251436551,1,2,1,2,7,7,2,2,0
120,867,867,-0.289983116278154,-0.289983116278154,1,2,1,2,3,3,2,2,0
121,199,199,-0.270201733161508,-0.270201733161508,1,2,1,2,4,4,2,2,0
122,677,677,0.019123206777257484,0.019123206777257484,1,2,1,2,2,2,2,2,0
123,655,655,-0.529727371562561,-0.529727371562561,1,2,1,2,8,8,2,2,0
124,91,379,0.909996031583837,1.65719486157036,1,1,2,2,5,9,1,1,1
125,902,902,-0.4267614315282852,-0.4267614315282852,1,2,1,2,9,9,2,2,0
126,989,989,0.41462715036374753,0.41462715036374753,1,2,1,2,1,1,2,2,0
127,550,550,-0.2824830985775275,-0.2824830985775275,1,2,1,2,8,8,2,2,0
128,784,784,-1.3679615890871601,-1.3679615890871601,1,2,1,2,7,7,2,2,0
129,462,462,0.26324731408283386,0.26324731408283386,1,2,1,2,9,9,2,2,0
130,805,805,2.17755612180098,2.17755612180098,1,2,1,2,1,1,2,2,0
131,629,923,0.586918605296407,1.27966165096792,1,1,2,2,9,4,1,1,1
132,655,655,0.19080491208690445,0.19080491208690445,1,2,1,2,8,8,2,2,0
133,9,9,-0.07051517928576981,-0.07051517928576981,1,2,1,2,9,9,2,2,0
134,295,295,-2.359536173581245,-2.359536173581245,1,2,1,2,7,7,2,2,0
135,374,374,1.39225658309981,1.39225658309981,1,2,1,2,9,9,2,2,0
136,86,86,-1.3995247943654001,-1.3995247943654001,1,2,1,2,2,2,2,2,0
137,407,407,0.588107221420342,0.588107221420342,1,2,1,2,7,7,2,2,0
138,177,631,1.72540139513663,1.71757451526381,1,1,2,2,2,7,1,1,1
139,727,727,-0.532382560888427,-0.532382560888427,1,2,1,2,6,6,2,2,0
140,830,830,0.367084040731246,0.367084040731246,1,2,1,2,2,2,2,2,0
141,924,924,-0.869979161869856,-0.869979161869856,1,2,1,2,5,5,2,2,0
142,247,247,-1.16157342960653,-1.16157342960653,1,2,1,2,1,1,2,2,0
143,87,87,-1.18692107129115,-1.18692107129115,1,2,1,2,1,1,2,2,0
144,442,442,-1.0062448958153716,-1.0062448958153716,1,2,1,2,1,1,2,2,0
145,219,219,-1.084878945600305,-1.084878945600305,1,2,1,2,0,0,2,2,0
146,408,806,-0.708917219489011,-0.552565751050894,1,1,2,2,9,9,1,1,1
147,92,174,1.78567669670848,0.133559058693751,1,1,2,2,4,5,1,1,1
148,844,844,3.172743862637075,3.172743862637075,1,2,1,2,1,1,2,2,0
149,787,787,-1.209672501319329,-1.209672501319329,1,2,1,2,9,9,2,2,0
150,369,369,0.6083982539762101,0.6083982539762101,1,2,1,2,4,4,2,2,0
151,491,491,1.1087313332113065,1.1087313332113065,1,2,1,2,1,1,2,2,0
152,60,918,0.507848695471456,1.57528910294774,1,1,2,2,2,6,1,1,1
153,68,68,-1.476942680514165,-1.476942680514165,1,2,1,2,8,8,2,2,0
154,583,583,-0.4041202902525005,-0.4041202902525005,1,2,1,2,3,3,2,2,0
155,791,791,-0.814183552551631,-0.814183552551631,1,2,1,2,7,7,2,2,0
156,949,949,0.16555670210217752,0.16555670210217752,1,2,1,2,7,7,2,2,0
157,215,215,-0.130037862180999,-0.130037862180999,1,2,1,2,9,9,2,2,0
158,332,687,0.41839392325786,0.165184169713082,1,1,2,2,7,2,1,1,1
159,956,25,-1.29256877776844,-1.27114023865871,1,1,2,2,5,0,1,1,1
160,526,526,0.907441510450745,0.907441510450745,1,2,1,2,2,2,2,2,0
161,811,811,-1.2292927281866999,-1.2292927281866999,1,2,1,2,8,8,2,2,0
162,684,684,-0.8754076597252926,-0.8754076597252926,1,2,1,2,1,1,2,2,0
163,575,575,3.17095935046214,3.17095935046214,1,2,1,2,4,4,2,2,0
164,821,835,-0.342349183971533,-0.475319159252267,1,1,2,2,9,8,1,1,1
165,831,831,0.8972638977458169,0.8972638977458169,1,2,1,2,4,4,2,2,0
166,18,18,0.5764827867523055,0.5764827867523055,1,2,1,2,2,2,2,2,0
167,180,180,-0.044534857314800995,-0.044534857314800995,1,2,1,2,1,1,2,2,0
168,355,355,0.19782957769766352,0.19782957769766352,1,2,1,2,7,7,2,2,0
169,547,572,0.538989790263752,1.35415448149997,1,1,2,2,8,6,1,1,1
170,517,467,-0.605924382296171,-0.757031628301301,1,1,2,2,2,8,1,1,1
171,921,921,-0.03640746049102685,-0.03640746049102685,1,2,1,2,8,8,2,2,0
172,971,971,-0.030674101473617554,-0.030674101473617554,1,2,1,2,9,9,2,2,0
173,480,480,2.710563181768925,2.710563181768925,1,2,1,2,4,4,2,2,0
174,204,204,-0.7984215938695135,-0.7984215938695135,1,2,1,2,9,9,2,2,0
175,81,81,-0.575523236425465,-0.575523236425465,1,2,1,2,9,9,2,2,0
176,689,545,0.624222631263401,0.585062374703311,1,1,2,2,4,1,1,1,1
177,276,276,1.5624327747177351,1.5624327747177351,1,2,1,2,6,6,2,2,0
178,729,729,1.0361306151034464,1.0361306151034464,1,2,1,2,1,1,2,2,0
179,982,982,-0.18271052579142177,-0.18271052579142177,1,2,1,2,2,2,2,2,0
180,248,248,-0.7980935696416325,-0.7980935696416325,1,2,1,2,2,2,2,2,0
181,939,249,1.36524431937278,1.32536118249199,1,1,2,2,9,7,1,1,1
182,129,129,-0.3619879997860319,-0.3619879997860319,1,2,1,2,9,9,2,2,0
183,19,484,-1.62668847521028,-1.29237270935155,1,1,2,2,5,1,1,1,1
184,313,313,-0.23428384749206752,-0.23428384749206752,1,2,1,2,4,4,2,2,0
185,887,887,0.12200032583597584,0.12200032583597584,1,2,1,2,1,1,2,2,0
186,563,773,1.6622160628555,1.35120197402699,1,1,2,2,4,6,1,1,1
187,942,942,0.5433770403647971,0.5433770403647971,1,2,1,2,9,9,2,2,0
188,28,28,1.472641802802245,1.472641802802245,1,2,1,2,1,1,2,2,0
189,47,47,-0.4675256505089525,-0.4675256505089525,1,2,1,2,8,8,2,2,0
190,427,427,-0.617103690368476,-0.617103690368476,1,2,1,2,8,8,2,2,0
191,632,632,-0.01439898209083935,-0.01439898209083935,1,2,1,2,4,4,2,2,0
192,105,105,0.7548385179267589,0.7548385179267589,1,2,1,2,9,9,2,2,0
193,65,65,-0.702938958214076,-0.702938958214076,1,2,1,2,8,8,2,2,0
194,827,827,-1.8723235522260602,-1.8723235522260602,1,2,1,2,5,5,2,2,0
195,306,306,2.294310350293685,2.294310350293685,1,2,1,2,9,9,2,2,0
196,262,262,0.6497516776044105,0.6497516776044105,1,2,1,2,8,8,2,2,0
197,631,631,-1.44517523985761,-1.44517523985761,1,2,1,2,7,7,2,2,0
198,91,91,-1.4504987050065,-1.4504987050065,1,2,1,2,5,5,2,2,0
199,977,76,-1.1259175151804,-2.55663306057834,1,1,2,2,8,5,1,1,1
200,383,383,2.011305228804585,2.011305228804585,1,2,1,2,9,9,2,2,0
201,441,441,2.0796479568783646,2.0796479568783646,1,2,1,2,6,6,2,2,0
202,72,72,-0.3335394908827052,-0.3335394908827052,1,2,1,2,7,7,2,2,0
203,657,657,1.11854571177608,1.11854571177608,1,2,1,2,1,1,2,2,0
204,633,633,0.28237907287677727,0.28237907287677727,1,2,1,2,1,1,2,2,0
205,9,9,-0.22387298425864918,-0.22387298425864918,1,2,1,2,9,9,2,2,0
206,689,689,-0.328837912102736,-0.328837912102736,1,2,1,2,4,4,2,2,0
207,495,495,0.11615406166206795,0.11615406166206795,1,2,1,2,4,4,2,2,0
208,477,477,2.062376123582975,2.062376123582975,1,2,1,2,4,4,2,2,0
209,983,919,0.00282836656024002,-0.793792479469312,1,1,2,2,9,5,1,1,1
210,79,79,0.8713465372277476,0.8713465372277476,1,2,1,2,9,9,2,2,0
211,805,805,1.592089628885,1.592089628885,1,2,1,2,1,1,2,2,0
212,482,482,1.315685663426665,1.315685663426665,1,2,1,2,8,8,2,2,0
213,285,285,-1.35211967467656,-1.35211967467656,1,2,1,2,7,7,2,2,0
214,484,484,-0.8447950360375265,-0.8447950360375265,1,2,1,2,1,1,2,2,0
215,846,846,2.291658210702975,2.291658210702975,1,2,1,2,4,4,2,2,0
216,584,584,-0.6510708480834211,-0.6510708480834211,1,2,1,2,8,8,2,2,0
217,397,102,0.00146092654602592,-0.950799271085507,1,1,2,2,6,8,1,1,1
218,509,509,-0.9822389991864445,-0.9822389991864445,1,2,1,2,1,1,2,2,0
219,743,743,-1.69431202514159,-1.69431202514159,1,2,1,2,7,7,2,2,0
220,406,406,-1.895739677905015,-1.895739677905015,1,2,1,2,0,0,2,2,0
221,370,370,2.35812360761099,2.35812360761099,1,2,1,2,6,6,2,2,0
222,802,802,0.9547345136162975,0.9547345136162975,1,2,1,2,2,2,2,2,0
223,745,745,0.4441246314077495,0.4441246314077495,1,2,1,2,2,2,2,2,0
224,948,948,-0.21720605485280334,-0.21720605485280334,1,2,1,2,8,8,2,2,0
225,331,547,0.0916000903867387,-0.245710769506826,1,1,2,2,8,8,1,1,1
226,539,641,-0.249427118765461,-0.575900578676234,1,1,2,2,9,9,1,1,1
227,217,867,-0.998931765780699,-1.19951179768446,1,1,2,2,7,3,1,1,1
228,687,687,0.5333434202041275,0.5333434202041275,1,2,1,2,2,2,2,2,0
229,411,411,-0.4876411442179245,-0.4876411442179245,1,2,1,2,4,4,2,2,0
230,634,634,2.26991859710662,2.26991859710662,1,2,1,2,8,8,2,2,0
231,373,373,0.241900105540332,0.241900105540332,1,2,1,2,1,1,2,2,0
232,308,308,0.7460780651170446,0.7460780651170446,1,2,1,2,4,4,2,2,0
233,547,547,-1.0673957310082485,-1.0673957310082485,1,2,1,2,8,8,2,2,0
234,718,604,0.339112447955094,-0.325998841130112,1,1,2,2,6,3,1,1,1
235,227,227,-1.547403455785605,-1.547403455785605,1,2,1,2,7,7,2,2,0
236,718,718,0.6701382355241341,0.6701382355241341,1,2,1,2,6,6,2,2,0
237,847,847,-0.12662637783659805,-0.12662637783659805,1,2,1,2,2,2,2,2,0
238,570,771,-0.487101476484504,-0.659267416402023,1,1,2,2,7,0,1,1,1
239,840,840,-0.23308596577942098,-0.23308596577942098,1,2,1,2,4,4,2,2,0
240,406,406,-1.9684186154666699,-1.9684186154666699,1,2,1,2,0,0,2,2,0
241,941,941,-0.546575301886562,-0.546575301886562,1,2,1,2,2,2,2,2,0
242,49,49,1.76317904611106,1.76317904611106,1,2,1,2,1,1,2,2,0
243,171,171,-0.22235597749609948,-0.22235597749609948,1,2,1,2,6,6,2,2,0
244,623,623,0.3504197744775409,0.3504197744775409,1,2,1,2,1,1,2,2,0
245,166,166,1.356861903181005,1.356861903181005,1,2,1,2,2,2,2,2,0
246,644,639,-0.301128172227364,-0.929145549659013,1,1,2,2,8,0,1,1,1
247,649,649,-1.0681616458543144,-1.0681616458543144,1,2,1,2,9,9,2,2,0
248,634,634,-0.8054590497247134,-0.8054590497247134,1,2,1,2,8,8,2,2,0
249,451,451,0.1255895891358425,0.1255895891358425,1,2,1,2,3,3,2,2,0
250,726,726,0.2896813251712585,0.2896813251712585,1,2,1,2,2,2,2,2,0
251,518,518,-1.398756629075965,-1.398756629075965,1,2,1,2,2,2,2,2,0
252,145,145,-0.937945232635077,-0.937945232635077,1,2,1,2,5,5,2,2,0
253,793,63,0.446814186555532,0.922987230340872,1,1,2,2,2,6,1,1,1
254,474,474,1.51664764122479,1.51664764122479,1,2,1,2,2,2,2,2,0
255,190,190,-0.11615627211320878,-0.11615627211320878,1,2,1,2,9,9,2,2,0
256,474,474,1.07855376927083,1.07855376927083,1,2,1,2,2,2,2,2,0
257,361,361,0.7431360423655925,0.7431360423655925,1,2,1,2,2,2,2,2,0
258,287,287,-0.9343902328838596,-0.9343902328838596,1,2,1,2,3,3,2,2,0
259,483,483,-0.670708701042906,-0.670708701042906,1,2,1,2,4,4,2,2,0
260,996,996,0.30787168627622696,0.30787168627622696,1,2,1,2,4,4,2,2,0
261,391,391,-1.2975401484539701,-1.2975401484539701,1,2,1,2,3,3,2,2,0
262,295,424,0.00828040389365691,0.284092157118483,1,1,2,2,7,4,1,1,1
263,108,108,0.3819039929459715,0.3819039929459715,1,2,1,2,5,5,2,2,0
264,867,447,2.26534703001117,2.9653808013632,1,1,2,2,3,1,1,1,1
265,194,115,2.42325034051013,0.820900647864693,1,1,2,2,6,5,1,1,1
266,897,897,0.400192130567256,0.400192130567256,1,2,1,2,1,1,2,2,0
267,981,248,-2.50465179015809,-1.48904212400464,1,1,2,2,0,2,1,1,1
268,491,491,-0.1472740895224075,-0.1472740895224075,1,2,1,2,1,1,2,2,0
269,185,185,0.1400842243468759,0.1400842243468759,1,2,1,2,1,1,2,2,0
270,669,230,0.845236081387368,1.56740483590433,1,1,2,2,2,4,1,1,1
271,152,152,0.645995220588317,0.645995220588317,1,2,1,2,8,8,2,2,0
272,183,183,1.0598090770924855,1.0598090770924855,1,2,1,2,2,2,2,2,0
273,385,385,-1.545085989755965,-1.545085989755965,1,2,1,2,9,9,2,2,0
274,526,526,0.9928344344012454,0.9928344344012454,1,2,1,2,2,2,2,2,0
275,30,30,0.6673763680501166,0.6673763680501166,1,2,1,2,6,6,2,2,0
276,377,377,0.294803700268084,0.294803700268084,1,2,1,2,9,9,2,2,0
277,755,755,0.587967745439059,0.587967745439059,1,2,1,2,9,9,2,2,0
278,95,95,0.694919307532718,0.694919307532718,1,2,1,2,4,4,2,2,0
279,191,191,-0.379256255463294,-0.379256255463294,1,2,1,2,2,2,2,2,0
280,636,636,-2.38416652603918,-2.38416652603918,1,2,1,2,3,3,2,2,0
281,944,402,1.29766117309993,1.60537749834585,1,1,2,2,6,1,1,1,1
282,257,257,1.2825567292159752,1.2825567292159752,1,2,1,2,6,6,2,2,0
283,251,175,-0.240614567624027,-1.40378830737242,1,1,2,2,9,0,1,1,1
284,479,479,0.067833624556915,0.067833624556915,1,2,1,2,8,8,2,2,0
285,293,293,0.20508986593351,0.20508986593351,1,2,1,2,9,9,2,2,0
286,637,637,-0.5834253770239796,-0.5834253770239796,1,2,1,2,8,8,2,2,0
287,300,300,1.33499519646083,1.33499519646083,1,2,1,2,2,2,2,2,0
288,664,664,-0.28602700553269766,-0.28602700553269766,1,2,1,2,2,2,2,2,0
289,654,527,0.949319962781996,-0.539639173623768,1,1,2,2,4,0,1,1,1
290,383,383,1.324907949520595,1.324907949520595,1,2,1,2,9,9,2,2,0
291,826,826,0.358929435125091,0.358929435125091,1,2,1,2,8,8,2,2,0
292,677,525,1.2648977832613,0.471205081865501,1,1,2,2,2,5,1,1,1
293,900,900,-1.73868844063262,-1.73868844063262,1,2,1,2,0,0,2,2,0
294,434,434,0.7774883196697855,0.7774883196697855,1,2,1,2,0,0,2,2,0
295,21,21,-0.477068316602958,-0.477068316602958,1,2,1,2,5,5,2,2,0
296,516,516,1.63088464612688,1.63088464612688,1,2,1,2,9,9,2,2,0
297,257,257,-0.6276989198896725,-0.6276989198896725,1,2,1,2,6,6,2,2,0
298,258,258,-0.23068825688966,-0.23068825688966,1,2,1,2,7,7,2,2,0
299,268,819,2.28657371445234,0.5251134331033,1,1,2,2,6,8,1,1,1
300,417,417,-0.11545102018953202,-0.11545102018953202,1,2,1,2,4,4,2,2,0
301,560,560,-1.323239300591445,-1.323239300591445,1,2,1,2,3,3,2,2,0
302,331,331,-0.8792923292373496,-0.8792923292373496,1,2,1,2,8,8,2,2,0
303,179,179,-0.873765214524155,-0.873765214524155,1,2,1,2,9,9,2,2,0
304,529,529,0.10949597556239402,0.10949597556239402,1,2,1,2,4,4,2,2,0
305,775,775,0.10078590632224199,0.10078590632224199,1,2,1,2,2,2,2,2,0
306,612,612,-2.18282329279252,-2.18282329279252,1,2,1,2,2,2,2,2,0
307,473,473,-0.0893158157084675,-0.0893158157084675,1,2,1,2,5,5,2,2,0
308,59,59,0.3362275770689105,0.3362275770689105,1,2,1,2,5,5,2,2,0
309,518,518,1.7017690775996401,1.7017690775996401,1,2,1,2,2,2,2,2,0
310,21,550,-0.0190934357456162,1.04630620679348,1,1,2,2,5,8,1,1,1
311,329,329,0.8653725972693704,0.8653725972693704,1,2,1,2,1,1,2,2,0
312,536,536,-0.831833608184279,-0.831833608184279,1,2,1,2,4,4,2,2,0
313,398,635,0.478598874986734,-1.1702564267443,1,1,2,2,1,5,1,1,1
314,758,758,0.6663290329226625,0.6663290329226625,1,2,1,2,4,4,2,2,0
315,141,141,1.277162158526572,1.277162158526572,1,2,1,2,6,6,2,2,0
316,596,596,0.05239900005536549,0.05239900005536549,1,2,1,2,3,3,2,2,0
317,842,842,-1.48729086601136,-1.48729086601136,1,2,1,2,7,7,2,2,0
318,532,532,1.5582181199931,1.5582181199931,1,2,1,2,2,2,2,2,0
319,745,745,0.9622735912272885,0.9622735912272885,1,2,1,2,2,2,2,2,0
320,275,275,-0.42121720127336204,-0.42121720127336204,1,2,1,2,7,7,2,2,0
321,747,747,1.311370939137995,1.311370939137995,1,2,1,2,9,9,2,2,0
322,578,578,-1.422969013947645,-1.422969013947645,1,2,1,2,7,7,2,2,0
323,889,194,0.647501028021593,1.87793322103538,1,1,2,2,3,6,1,1,1
324,296,377,-0.417593708770375,-0.209665784053032,1,1,2,2,4,9,1,1,1
325,152,152,0.054127886944662,0.054127886944662,1,2,1,2,8,8,2,2,0
326,431,431,-0.43265385478551055,-0.43265385478551055,1,2,1,2,2,2,2,2,0
327,266,266,1.014650135282429,1.014650135282429,1,2,1,2,4,4,2,2,0
328,165,165,1.4856423353698052,1.4856423353698052,1,2,1,2,1,1,2,2,0
329,684,684,0.0948246247436098,0.0948246247436098,1,2,1,2,1,1,2,2,0
330,896,896,1.249287739567595,1.249287739567595,1,2,1,2,9,9,2,2,0
331,203,203,-0.94044830595171,-0.94044830595171,1,2,1,2,9,9,2,2,0
